CustomerID,TouchpointOrder,Channel,Timestamp,Converted,Revenue
805999,1,SEO,2024-05-18 00:00,Y,84.16
808805,2,Paid Search,2024-05-06 00:00,N,0
804783,1,SEO,2025-04-27 00:00,N,0
804573,5,Email,2025-04-07 00:00,Y,218.37
802718,1,SEO,2024-05-13 00:00,Y,36.25
801753,1,Paid Search,2025-08-21 00:00,Y,212.23
800606,1,Paid Social,2024-10-28 00:00,Y,215.0
802179,1,Paid Social,2024-05-18 00:00,N,0
808437,2,Paid Search,2025-05-19 00:00,N,0
805019,4,Email,2024-08-29 00:00,N,0
804982,1,Email,2025-04-22 00:00,N,0
802829,4,Paid Search,2025-04-09 00:00,Y,100.46
802330,3,Email,2025-03-13 00:00,N,0
808176,1,Paid Social,2024-12-19 00:00,Y,172.05
801189,2,Paid Search,2024-05-09 00:00,N,0
807839,1,Paid Social,2024-09-04 00:00,Y,187.29
805724,2,Email,2024-12-12 00:00,N,0
800579,3,Paid Search,2024-11-24 00:00,Y,43.11
806912,2,Paid Search,2025-06-10 00:00,N,0
808729,1,SEO,2025-10-14 00:00,N,0
807791,2,Paid Social,2025-06-30 00:00,Y,210.82
801129,2,Paid Social,2025-01-29 00:00,Y,174.34
805981,2,Paid Social,2024-07-21 00:00,Y,150.26
806897,2,Email,2025-05-30 00:00,Y,91.16
808888,5,Paid Search,2024-11-03 00:00,Y,197.79
800154,1,SEO,2025-02-01 00:00,N,0
800272,1,SEO,2025-01-06 00:00,N,0
807349,2,Paid Social,2024-08-11 00:00,Y,197.33
803728,3,Paid Search,2024-09-19 00:00,N,0
800769,2,Paid Social,2025-01-24 00:00,Y,87.08
803498,1,Email,2024-04-21 00:00,Y,107.06
808511,1,Paid Search,2024-05-28 00:00,Y,90.48
805953,2,Paid Social,2024-11-12 00:00,N,0
805954,2,Paid Search,2025-03-18 00:00,Y,161.59
804056,2,Email,2025-05-04 00:00,Y,213.69
808396,1,Paid Social,2025-04-30 00:00,Y,91.93
807793,2,Email,2024-02-22 00:00,Y,214.92
800593,1,SEO,2024-11-27 00:00,Y,76.59
805130,1,Paid Social,2025-02-20 00:00,N,0
800120,1,SEO,2025-07-29 00:00,Y,48.79
805819,2,Email,2025-07-15 00:00,Y,122.02
800494,1,Paid Social,2024-01-19 00:00,Y,173.79
800376,3,Email,2025-06-03 00:00,N,0
804274,2,SEO,2024-11-01 00:00,Y,123.93
802612,1,Paid Social,2024-03-23 00:00,Y,87.34
803005,4,Paid Search,2025-06-01 00:00,Y,132.98
806020,2,Paid Social,2025-08-02 00:00,N,0
803275,2,SEO,2024-12-22 00:00,Y,213.43
805855,2,Email,2025-04-11 00:00,Y,183.45
803394,1,SEO,2025-01-24 00:00,Y,66.93
805929,2,Paid Search,2025-05-11 00:00,Y,149.5
803920,3,Paid Search,2024-07-17 00:00,Y,107.63
805192,1,Paid Social,2024-09-30 00:00,Y,123.87
808983,1,SEO,2025-08-21 00:00,Y,164.24
803481,3,SEO,2025-09-18 00:00,Y,212.32
807644,2,Email,2024-07-03 00:00,N,0
805489,1,SEO,2024-11-08 00:00,Y,51.56
808695,2,Paid Social,2024-02-01 00:00,Y,150.92
806678,1,SEO,2025-03-08 00:00,N,0
804690,5,Paid Social,2024-06-25 00:00,N,0
804891,3,Email,2024-12-25 00:00,N,0
808717,2,Paid Search,2025-08-13 00:00,Y,70.23
800931,2,SEO,2024-12-21 00:00,Y,167.58
803596,4,Email,2025-02-25 00:00,Y,133.81
801062,2,SEO,2024-12-01 00:00,Y,173.22
806927,1,Paid Social,2024-06-03 00:00,N,0
808489,3,Paid Search,2024-03-11 00:00,N,0
808949,4,SEO,2025-08-12 00:00,Y,153.42
808616,1,Email,2025-07-28 00:00,N,0
803454,1,SEO,2025-04-07 00:00,N,0
800449,2,SEO,2024-08-12 00:00,N,0
808817,2,SEO,2024-06-08 00:00,Y,178.77
806145,3,SEO,2024-05-18 00:00,N,0
806334,1,SEO,2025-05-26 00:00,Y,199.27
801777,5,Paid Search,2025-10-21 00:00,Y,146.45
806749,1,SEO,2024-03-19 00:00,Y,205.31
802712,1,Paid Social,2025-07-05 00:00,Y,151.7
802889,2,SEO,2024-01-12 00:00,Y,180.47
801284,1,Paid Social,2025-03-29 00:00,Y,152.79
802475,5,Paid Social,2024-01-05 00:00,Y,162.6
805375,5,Email,2025-02-15 00:00,N,0
801666,3,Paid Search,2024-02-04 00:00,N,0
800529,1,Paid Search,2024-09-01 00:00,N,0
806219,1,Paid Social,2024-01-14 00:00,Y,161.95
808900,2,Paid Social,2024-08-01 00:00,Y,113.78
807495,2,Paid Social,2024-04-21 00:00,N,0
801551,3,SEO,2024-07-02 00:00,Y,184.46
